Brand Names,Buyer Classification,Buyer Sector,Buyer HQ Location,Buyer HQ Region,Cum. Retirements,"Cum. Share, %",Last 5 Years Retirements,"Last 5 Years Share, %",2019,2020,2021,2022,2023,2024,Repeat Tx count,Average purchase per year,Last 2 Years Purchases,Purchases before Last 2 Years,Last 2 Years gain vs prior
02 Taksi Oy,Transportation/ Taxi Services,Transportation/Logistics,Finland,Europe,253,0.00%,253,0.00%,,,,253,,,1,253,0,253,0.00%
100% Renewables,Energy and sustainability sector,Energy/Mining/Utilities,Australia,Oceania,269,0.00%,269,0.00%,,,,,75,194,1,135,269,0,100.00%
11er Nahrungsmittel GmbH,Food and Beverage industry,Food and Beverage,Germany,Europe,"2,703",0.00%,"2,500",0.00%,"1,000","1,000",,500,,,3,833,0,"2,703",0.00%
11th Hour Racing,Entertainment industry,Entertainment/Media/Sports,United States,North America,23,0.00%,23,0.00%,23,,,,,,1,23,0,23,0.00%
17 Capital Services Ltd,Financial Services,Financial Services,United Kingdom,Europe,101,0.00%,101,0.00%,,,,,,101,0,101,101,0,100.00%
17 Sport,Sportswear/Apparel,Apparel/Fashion,Germany,Europe,496,0.00%,496,0.00%,,,,,332,164,1,248,496,0,100.00%
2025 US Open Tennis Championships,Sports,Entertainment/Media/Sports,United States,North America,"2,040",0.00%,"2,040",0.00%,,,,,,"2,040",0,"2,040","2,040",0,100.00%
2050 Consulting AB,Consulting Services,Consulting Services,Sweden,Europe,"4,837",0.01%,"4,837",0.01%,,,"2,426",,"2,411",,2,"2,419","2,411","2,426",49.84%
"2099 Productions NY, LLC",Entertainment industry,Entertainment/Media/Sports,United States,North America,831,0.00%,831,0.00%,,,,,831,,1,831,831,0,100.00%
20th Century Studios,Entertainment industry,Entertainment/Media/Sports,United States,North America,266,0.00%,266,0.00%,,,,225,41,,2,133,41,225,15.41%
21 Construction,Construction,Construction/Engineering,Singapore,Asia,"1,671",0.00%,"1,671",0.00%,,,"1,671",,,,1,"1,671",0,"1,671",0.00%
23 Degrees Coffee,Food and Beverage industry,Food and Beverage,United States,North America,30,0.00%,30,0.00%,,,,30,,,1,30,0,30,0.00%
2B Scientific,Medical Devices,Healthcare/Pharmaceuticals,United Kingdom,Europe,92,0.00%,92,0.00%,,,,48,,44,1,46,44,48,47.83%
2do Marketing Services GmbH,Marketing Services,Advertising/Marketing/PR,Germany,Europe,80,0.00%,80,0.00%,,,80,,,,1,80,0,80,0.00%
2i Rete Gas,Energy/Utilities,Energy/Mining/Utilities,Italy,Europe,"14,515",0.02%,"14,515",0.02%,,,,,410,"14,105",1,"7,258","14,515",0,100.00%
2SPL,Legal services,Consulting Services,Germany,Europe,95,0.00%,95,0.00%,,,,,95,,1,95,95,0,100.00%
30 Seconds Limited,Advertising/Marketing/PR,Advertising/Marketing/PR,New Zealand,Oceania,"3,624",0.00%,"3,624",0.01%,,,,,"3,624",,1,"3,624","3,624",0,100.00%
3Degrees,Energy and sustainability sector,Energy/Mining/Utilities,United States,North America,476,0.00%,476,0.00%,,,,,476,,1,476,476,0,100.00%
3E Group,Consulting or technology sector,Consulting Services,United States,North America,500,0.00%,500,0.00%,,,,,500,,1,500,500,0,100.00%
3R Group Limited,Waste management and recycling industry,Agriculture/Agribusiness/Resources,New Zealand,Oceania,629,0.00%,629,0.00%,,,210,,300,119,2,210,419,210,66.61%
4AIR,Travel & Tourism,Travel & Tourism,France,Europe,"126,010",0.17%,"126,010",0.19%,,,,"19,643","5,860","100,507",2,"42,003","106,367","19,643",84.41%
4C,Certification Services,Consulting Services,Germany,Europe,13,0.00%,13,0.00%,,,,13,,,1,13,0,13,0.00%
4G Systems GmbH,Technology/Telecommunications,Technology/Telecommunications,Germany,Europe,775,0.00%,775,0.00%,,,775,,,,1,775,0,775,0.00%
4T Medical,Medical Devices,Healthcare/Pharmaceuticals,United Kingdom,Europe,83,0.00%,83,0.00%,,,,,83,,1,83,83,0,100.00%
667 Technology GmbH,Technology,Technology/Telecommunications,Germany,Europe,767,0.00%,767,0.00%,,767,,,,,1,767,0,767,0.00%
7-Eleven,Convenience store industry,Retail,Japan,Asia,32,0.00%,32,0.00%,,,,,,32,0,32,32,0,100.00%
A Days March,Fashion/Apparel,Apparel/Fashion,Sweden,Europe,"1,744",0.00%,"1,744",0.00%,,378,764,602,,,3,581,0,"1,744",0.00%
A.E.S Engineering,Engineering,Construction/Engineering,United States,North America,500,0.00%,500,0.00%,,,,500,,,1,500,0,500,0.00%
A2C Services Ltd,Services/Consulting industry,Consulting Services,United Kingdom,Europe,837,0.00%,837,0.00%,,,837,,,,1,837,0,837,0.00%
AA Salt Services Ltd,Salt services,Others,United Kingdom,Europe,40,0.00%,40,0.00%,,,,,,40,0,40,40,0,100.00%
AAC,Aerospace and Defense,Manufacturing/Engineering,United States,North America,"50,000",0.07%,"50,000",0.08%,,,,,,"50,000",0,"50,000","50,000",0,100.00%
AAM Commercial,Commercial Services,Consulting Services,United States,North America,300,0.00%,300,0.00%,,,,,,300,0,300,300,0,100.00%
AB KE Petterssons Handelsträdgårdar,Agriculture/ Gardening/ Landscaping,Agriculture/Agribusiness/Resources,Sweden,Europe,612,0.00%,612,0.00%,612,,,,,,1,612,0,612,0.00%
ABAB Accountants en Adviseurs,Accounting Services,Consulting Services,Netherlands,Europe,"3,096",0.00%,"1,848",0.00%,383,,848,617,,,3,616,0,"3,096",0.00%
ABAX Group,Technology/Software,Technology/Telecommunications,Norway,Europe,"1,064",0.00%,"1,064",0.00%,,,181,176,707,,3,355,707,357,66.45%
ABB,Technology/Electronics,Technology/Telecommunications,Switzerland,Europe,"31,537",0.04%,"31,537",0.05%,,"15,446",,,"15,921",170,2,"10,512","16,091","15,446",51.02%
Abbey,Financial Services,Financial Services,United Kingdom,Europe,959,0.00%,959,0.00%,,,,,,959,0,959,959,0,100.00%
Aberdeen International Airport,Travel & Transportation,Transportation/Logistics,United Kingdom,Europe,"2,527",0.00%,"2,527",0.00%,,"1,590",937,,,,2,"1,264",0,"2,527",0.00%
